ClusterID,DetectionDate-first,DetectionDate-last,Duration,avgLatitude,avgLongitude,totalArea_km2,maxBrightness,maxBright_t31,maxFRP,avgConfidence
1508,2015-22-07,2015-22-07,1,66.0446,-154.8742,0.25,363.1,297.8,147.5,100
1509,2015-22-07,2015-22-07,1,65.8184,-153.5903,0.25,368.5,298.1,200.5,94
1510,2015-22-07,2015-22-07,1,66.1338,-154.7048,0.25,367.1,299.1,165.4,100
1511,2015-22-07,2015-22-07,1,66.1276,-154.6777,0.25,379.2,305.2,234.8,100
1512,2015-22-07,2015-22-07,1,66.12165,-154.7046,2.28575536295466,403,307.4,432.3,100
1513,2015-22-07,2015-22-07,1,62.82545,-141.9386,5.32400659170522,320.4,286.1,49.2,99.5
1514,2015-22-07,2015-22-07,1,66.0979571428571,-154.7206,12.3416120714091,449.6,313,2559.8,97.5714285714286
1515,2015-22-07,2015-22-07,1,65.8771,-154.21415,2.05966063458787,342.7,297.4,99.6,92
1516,2015-28-08,2015-28-08,1,57.602075,-152.223625,6.63399948353012,406.5,297.3,322.5,99.8333333333333
1517,2015-30-08,2015-30-08,1,61.5988,-149.9018,0.25,366.8,295.2,167.8,94
1518,2015-28-08,2015-28-08,1,57.6124,-152.2546,0.25,408.9,298.1,340.3,100
1519,2015-28-08,2015-28-08,1,57.6102,-152.2721,0.25,368.9,289,123.7,100
1520,2015-28-08,2015-28-08,1,57.5915,-152.1908,0.25,393.7,296.2,0,100
1521,2015-28-08,2015-28-08,1,57.6193,-152.276,0.25,315.6,283.7,16.5,92
1522,2015-28-08,2015-28-08,1,57.5969454545454,-152.211481818182,13.9901386962138,421.8,302.6,450.1,100
1523,2016-28-03,2016-29-03,2,55.41978,-161.87502,1.77747504530851,469.9,296.4,3317.2,100
1524,2016-28-03,2016-28-03,1,55.4315,-161.8685,0.25,316.5,270.4,81.1,91
1525,2016-28-03,2016-28-03,1,55.4224,-161.89815,0.00995169444612105,376.5,280.1,569.9,100
1526,2016-28-03,2016-28-03,1,55.4246,-161.8642,0.25,351.9,276.6,281.6,100
1527,2016-28-03,2016-28-03,1,55.4175,-161.8663,0.25,350.1,274.1,267,100
1528,2016-28-03,2016-28-03,1,55.415,-161.8937,0.25,365.9,265.1,126.7,100
1529,2016-13-04,2016-13-04,1,63.9886,-145.6559,0.25,345.1,284.5,57.5,94
1530,2016-11-05,2016-13-05,3,63.939575,-148.8414,1.05255341651355,369.9,300.5,111.5,95.5
1531,2016-29-05,2016-01-06,4,63.2104333333333,-154.273024242424,49.2680331546626,433,329.1,735.1,98.0757575757576
1532,2016-02-06,2016-02-06,1,61.0415,-163.6075,0.25,339.6,294.3,41.8,91
1533,2016-03-06,2016-09-06,7,62.064911627907,-161.228993023256,40.5529142150131,417.1,303.9,483.4,97.5348837209302
1534,2016-11-06,2016-12-06,2,66.9568285714286,-156.975342857143,4.40831326322632,392.3,306.9,352.3,93.2857142857143
1535,2016-29-05,2016-29-05,1,63.1997,-154.2307,0.25,373.5,300.4,446.5,100
1536,2016-29-05,2016-29-05,1,63.20316,-154.23956,4.20487315531102,381.3,299.4,690.8,96.2
1537,2016-29-05,2016-29-05,1,63.211,-154.2294,0.25,382.9,302.6,162.2,100
1538,2016-16-06,2016-17-06,2,64.524720754717,-153.249116981132,32.4509984233598,460.3,315.5,3012.1,98.622641509434
1539,2016-18-06,2016-18-06,1,64.2262,-141.1696,0.25,357.4,280.6,105,99
1540,2016-26-06,2016-01-07,6,65.8726075471698,-155.668211320755,114.805502667177,472.1,321.5,1312.8,97.3018867924528
1541,2016-26-06,2016-30-06,5,66.13084,-155.73888,3.19577737175541,358.7,300,120.9,94.4
1542,2016-27-06,2016-27-06,1,65.4623333333333,-142.482833333333,0.593126152338982,397.8,290.3,302.3,95.3333333333333
