,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,avgLongitude,avgLatitude,Elevation,Slope,Aspect,NDVI,EVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,Clear_day_cov,Clear_night_cov,Albedo_BSA_nir,Albedo_BSA_shortwave,Albedo_WSA_nir,Albedo_WSA_shortwave,prcp,srad,dayl,tmax,tmin,LST_Day_1km,LST_Night_1km,Y,M,D,W,H,S,v_component_of_wind_10m,u_component_of_wind_10m,surface_pressure,runoff_sum,total_evaporation_sum,snowfall_sum,snowmelt_sum,snow_depth,snow_density,snow_cover,dewpoint_temperature_2m,temperature_2m,totalArea_km2
576,8,8,4,1,1,-145.73845,64.7544,743,0.400005572,334.3824444,633,926,6602,7495,5331,622,1037,1965,419,425,428,431,0.0,114.849998474121,39497.80859375,3.91000008583069,-3.91000008583069,13408,13109,2005,3,13,1,0,3,0.919894536336263,-1.11481348673503,94121.3756510417,0.0001723319292068,-0.0001242933794856,0.0002660863101482,0.0,0.573933919270833,245.402979532878,100.0,267.694709777832,270.658745447795,1.00169027849135
1469,8,8,4,1,1,-154.5206,64.6425,67,0.178508064,56.24385594,3933,1575,694,1594,197,912,2000,2000,128,90,132,92,0.0,325.489990234375,62045.390625,15.8900003433228,2.63000011444092,14333,13721,2015,5,7,0,0,0,0.0734975337982178,-1.14753341674805,99037.6595052083,0.000247299671173,-0.0011043483391404,0.0,0.0003919303417205,0.0019938151041666,331.742172241211,2.10807291666667,272.577976226807,283.173986434937,0.25
1317,8,8,4,1,1,-155.643553125,64.0242625,206,0.090133156,68.36250382,803,718,2565,3013,2380,231,2000,1997,241,249,241,251,0.0,265.549987792969,43994.91015625,3.29999995231628,-14.2299995422363,13501,13235,2015,3,24,0,0,0,-1.27228617668152,-1.13984616597493,98685.7213541667,0.0002773851156234,-0.0003181947395205,0.0,0.0,0.356241861979167,227.124333699544,100.0,263.615603764852,267.246656417847,27.9036902779435
1902,8,8,4,1,1,-142.887944444444,65.2126592592593,541,0.183641204,312.7669086,1138,632,1537,1932,1640,282,1199,1998,220,215,214,212,0.0,228.300003051758,47821.0390625,-7.28999996185303,-18.4699993133545,13060,13125,2021,4,2,0,1,0,0.0128632783889771,0.965553919474284,93975.7783203125,0.0001847743988037,-0.0001995265483856,0.00056878849864,0.0,0.461751302083333,186.567367553711,99.677734375,255.22115389506,259.053250630697,76.4294153655478
554,9,9,4,1,1,-159.093691977077,62.0493005730659,124,0.052448045,270.0,5593,2785,609,2155,258,1043,3152,3227,188,128,207,139,7.78999996185303,206.139999389648,59007.01953125,8.97999954223633,1.30999994277954,14344,13700,2005,5,5,0,0,0,2.99694283803304,-2.60474268595378,98602.9125976562,0.0075248181819915,-0.0001012766733765,0.0,0.0155016575008631,0.1690673828125,409.504216512044,90.261474609375,274.725723266602,277.415096918742,408.887263575151
829,8,8,4,1,1,-150.9219,65.3279,220,0.134747444,142.5115701,4988,2088,546,1633,253,1194,1400,1997,159,117,162,119,0.0,402.899993896484,60630.87890625,20.4799995422363,0.310000002384186,14358,13766,2009,5,2,1,0,0,-1.70015021165212,-0.373875300089518,98114.7524414062,0.0061912536621093,-0.0002101808786392,0.0,0.01413968577981,0.08203125,309.701807657878,81.7557779947917,273.729223251343,281.406735102336,0.25
120,9,9,4,1,1,-144.557482352941,65.5506705882353,224,0.30527467,71.14165227,4765,2046,609,1718,243,1285,2074,1970,185,126,189,129,0.579999983310699,342.980010986328,62587.171875,9.96000003814697,-4.32999992370605,14121,13603,2002,5,6,0,0,0,1.68561108907064,0.212823867797852,97214.73046875,0.0023743510246276,-0.0006573572754859,0.0002121329307556,0.0024271346628665,0.193155924479167,218.763656616211,99.41015625,265.358884175618,272.185258229574,10.4109845321127
1820,7,7,2,4,5,-144.9175,68.12335,839,0.065367448,175.6828044,4965,2491,733,2179,276,1232,2000,1951,576,731,574,730,0.0,316.359985351562,60461.75,-2.21000003814697,-12.460000038147,13442,12813,2019,4,26,0,0,0,-1.43622287114461,-0.19674809773763,92484.7389322917,0.0002057254314422,-4.99077141284943e-05,0.0,0.0,0.673055013020833,258.229802449544,86.478515625,255.416462580363,261.994654337565,0.857658240555489
275,8,8,4,1,1,-141.58465,62.5986,598,0.481182463,25.62659306,5749,2186,394,1460,218,729,1969,2682,110,78,110,78,0.0,290.850006103516,63212.73046875,11.9399995803833,0.330000013113022,14279,13607,2003,5,16,0,0,0,-0.216067632039388,2.29492568969727,92838.2255859375,0.0004147291183471,-0.0014406871050596,5.14090061187744e-07,0.0017464980483055,0.0279134114583333,151.301417032878,26.71240234375,270.91161664327,277.177075703939,7.78923244315921
1473,8,8,4,1,1,-153.582358333333,63.5606333333333,171,0.281576737,79.8288452,6039,2701,465,1883,207,624,1971,3614,131,89,133,90,0.0,340.230010986328,61373.12890625,14.6499996185303,1.58000004291534,14631,13646,2015,5,8,0,0,0,1.29049237569173,-0.643581390380859,97961.7418619792,0.0002679079771041,-0.001095026731491,0.0,1.90883874893188e-05,-7.345364722995101e-24,283.632797241211,0.099365234375,274.274193445841,281.696530659993,4.56339127568481
